,Level,date,State FIPS,State Postal Code,County FIPS,County,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month,business_id,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours,review_id,user_id,stars_y,useful,funny,cool,text,ZIP Code,cluster
0,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,il_Ro8jwPlHresjw9EGmBg,Denny's,8901 US 31 S,Indianapolis,IN,46227,39.6371332838,-86.127217412,2.5,28,1,"{'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'BikeParking': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'Alcohol': ""'none'"", 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': None, 'street': False, 'validated': None, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': False, 'divey': None, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True}""}","American (Traditional), Restaurants, Diners, Breakfast & Brunch","{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:0-22:0'}",BZNhEgLZLPUwYMN7VzHvzQ,IVh9Z9Hjq0UEo54vrbmX7A,1,0,0,0,"I have three words for you: DON'T EAT HERE! Where do I begin with this train wreck? Let's start with the food, my husband ordered the French Toast Slam with scrambled eggs, I opted for the Country Fried Steak eggs over medium and cream cheese for my toast. When our food arrived it look completely inedible! Over cooked eggs, burnt steak and toast. What's worse than burnt food, you ask? Burnt food THAT'S COLD! Even the coffee was terrible! I wish I could say our service saved the meal but why lie now?! I told the waitress that the food didn't look good and she flippantly replied, ""Yeah our kitchen's been off today'."" At this point we should've just up and left, but my husband was starving and going into shutdown mode. It was just as terrible as you can imagine. I stopped eating after four bites and pushed my plate away. Our waitress only came back to give us the bill. On our way out I hit the bathroom. I was repulsed by its lack of cleanliness and over all stench of sewage. Once again, do yourself a favor and don't waste your money here!",46227,5
1,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,HCbJPXWXvwN-C7XfmVy3gA,Granite City Food & Brewery,"49 W Maryland St, Ste B03A",Indianapolis,IN,46204,39.7664200969,-86.1592453161,3.5,258,0,"{'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'None', 'HappyHour': 'True', 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Desserts, Breweries, Breakfast & Brunch, Restaurants, Barbeque, American (New), Food, American (Traditional)","{'Monday': '11:0-18:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-1:0', 'Sunday': '8:0-21:0'}",s7tnqVefDhqNGiJimEVNOg,7TVAdqazTaKX3zHHm3jctg,4,0,0,0,I had some previous bad experiences but returned due to a balance on a gift card. Finally had good service and the food was also very good. I'll definitely try again!,46204,1
2,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,EQ-TZ2eeD_E0BHuvoaeG5Q,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1379,1,"{'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'True', 'Caters': 'True', 'HasTV': 'False', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False', 'RestaurantsDelivery': 'None', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'HappyHour': 'False', 'RestaurantsTakeOut': 'True'}","Beer, Wine & Spirits, Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, American (New)","{'Monday': '10:0-15:0', 'Friday': '10:0-15:0', 'Saturday': '10:0-15:0', 'Sunday': '10:0-15:0'}",9WYX-lyZcvOhH_qpV_4WFQ,a7X4rMb6L4tivKwnXLRD5w,2,1,1,0,"I have finally have reached my disappointment with this spot. 

Everyone definitely comes here for the hipster vibe and food combinations. As far as food and drink creativity, they nail it. I love seeing what they come up with but I can no longer deal with their wait staff.

Unfortunately the service is just blah. We know it's always a wait of at least 30 min and most of the servers treat you like you are just not ""cool"" enough for them to talk to you and offer up suggestions. There is one chic that might be the exception to this rule but even asking for drip coffee at the coffee bar is like asking for something they just don't have time for.

Today was by far the worst when we waited 10 minutes just for the host to take our names down. After waiting 30 min and having them seat another couple that came in after us (and all of this was handled/stated when our names were taken down), before us, and then lied to that they were there before us was just insulting and unprofessional. 

There are plenty of other great brunch establishments near by with better customer service that I will be recommending to my out of town customers so that they can spend their hard earn money and still have a great experience all around.",46203,1
3,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,sr-5EY6bmp4jINhea06MjA,The Cake Bake Shop by Gwendolyn Rogers-Broad Ripple Village,6515 Carrollton Ave,Indianapolis,IN,46220,39.8739995,-86.1444306,4.0,996,1,"{'RestaurantsTakeOut': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'free'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsReservations': 'True', 'HasTV': 'False', 'DogsAllowed': 'True', 'NoiseLevel': ""'average'"", 'BYOB': 'False', 'HappyHour': 'True', 'RestaurantsTableService': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}"", 'Corkage': 'True', 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': None, u'dinner': False, u'latenight': False, u'dessert': True}"", 'ByAppointmentOnly': 'True', 'OutdoorSeating': 'True', 'DriveThru': 'False'}","Restaurants, Bakeries, Desserts, Patisserie/Cake Shop, American (Traditional), Cafes, Coffee & Tea, Cupcakes, French, Sandwiches, Food, American (New), Breakfast & Brunch","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-19:0'}",_JWF3fH9VhN7AKMZSP1fDQ,_sJd6x0n-omV9tVBMdM90g,5,0,0,0,"Wow. Just wow. I was visiting friends and they insisted we go here for dessert. Let's just say, if they weren't already some of my favorite people, they would be now. While the cake is pricey, it is totally worth it. I had a chocolate with caramel. Yum. We also got some of the drinking chocolate which is good but very rich (best to share!). The place was mobbed (even on a Wednesday around 2p) so be prepared to wait. Tip- if you can, get it to go and then head somewhere less crazy to really savor the cake!",46220,2
4,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,teFjQxUqT8c-yxQdoILDVQ,Nada,11 W Maryland St,Indianapolis,IN,46204,39.7654786,-86.1587013,4.5,1619,1,"{'GoodForDancing': 'False', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'HasTV': 'True', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"", 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'None', 'Caters': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'ByAppointmentOnly': 'False', 'Alcohol': ""'full_bar'"", 'CoatCheck': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'DriveThru': 'False', 'HappyHour': 'True', 'RestaurantsGoodForGroups': 'True', 'Smoking': ""u'no'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False', 'RestaurantsTakeOut': 'None'}","New Mexican Cuisine, Breakfast & Brunch, Desserts, Nightlife, Bars, Cocktail Bars, Mexican, Latin American, Restaurants, Food, Tacos","{'Monday': '16:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",PHyvl06B8SN1Mo5JC8CULg,zd7yTlR31z0VLBtuLMI_7Q,5,0,0,0,"Nada is such a gorgeous restaurant, I love the decor and style of it. The menu is short and simple, which I do like. Our waitress was very friendly and helpful as it was our first time here. We started w/ make your own queso, yum!! I ordered 3 tacos, and you can mix and match. They were all delicious, and had a unique flare.",46204,1
5,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,My9NAWShKtNqBYw7200qOw,Conner's Kitchen + Bar,350 West Maryland St,Indianapolis,IN,46225,39.766624,-86.1648434,4.0,365,1,"{'Caters': 'False', 'RestaurantsTableService': 'True', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'OutdoorSeating': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTakeOut': 'True', 'GoodForDancing': 'False', 'BikeParking': 'True', 'GoodForKids': 'True', 'CoatCheck': 'False', 'HappyHour': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': True, 'street': False, 'validated': True, 'lot': False, 'valet': True}"", 'GoodForMeal': ""{u'breakfast': None, u'brunch': True, u'lunch': True, u'dinner': True, u'latenight': True, u'dessert': None}"", 'Smoking': ""u'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': True, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'Music': ""{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}"", 'DogsAllowed': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'DriveThru': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2'}","Restaurants, Breakfast & Brunch, American (Traditional), Bars, Nightlife, American (New)","{'Monday': '16:0-23:0', 'Tuesday': '16:0-23:0', 'Wednesday': '16:0-23:0', 'Thursday': '16:0-23:0', 'Friday': '16:0-0:0', 'Saturday': '16:0-0:0', 'Sunday': '16:0-22:0'}",jEV9QCzHbKHd1SgUYGnwIw,WRIxVZ0IM2gStzAZv5PPiA,5,0,0,0,"One of my favorite restaurants with a variety of food and drink options! Everything was fresh, and the staff was amazing!",46225,1
6,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,V5D41y4cSOVBlx-bVCR1_g,Metro Diner,4702 Sunset Ave,Indianapolis,IN,46208,39.8411941,-86.1689814,4.5,137,0,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'True', 'HasTV': 'False', 'Alcohol': ""u'beer_and_wine'"", 'Caters': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'WiFi': ""'free'""}","American (Traditional), Restaurants, Breakfast & Brunch, Diners","{'Monday': '8:0-19:0', 'Tuesday': '8:0-19:0', 'Wednesday': '8:0-19:0', 'Thursday': '8:0-19:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-19:0'}",MqmrK4OI_eAlvX-ej5QFQw,qvxgQ8zoRJW8C21b9AJZpw,1,1,0,0,"I wasn't going to write a bad review because of the wait time for carry out, I could tell it's been a long morning and that the manager on duty sucked.  But I waited an entire extra 30 minutes because they messed up part of my order.  I was so disappointed, no one so much as apologized.  They took off part of the meal, but when I got home, I had to finish cooking my hash browns myself because they were so raw. And the waffle?  It sat and got cold while i waited for them to fix the other food they had messed up so it was soggy and cold.  None of the employees offered me coffee or anything while I waited, either.  They were too busy complaining about how much the manager on duty was screwing everything up, all within earshot of myself and other customers.",46208,3
7,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,uPemnAOJJyoeHmhD8g_fbw,Metro Diner,"7225 US-31 S, Unit A06",Indianapolis,IN,46227,39.660567,-86.143942,4.0,404,1,"{'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}"", 'WiFi': ""u'free'"", 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'Alcohol': ""u'beer_and_wine'"", 'DogsAllowed': 'False', 'NoiseLevel': ""u'average'"", 'HappyHour': 'False', 'RestaurantsReservations': 'None', 'OutdoorSeating': 'None', 'HasTV': 'False', 'RestaurantsAttire': 'None', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Breakfast & Brunch, American (Traditional), Diners","{'Monday': '0:0-0:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '7:0-14:30', 'Friday': '7:0-14:30', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}",_nrg_CJ10frfAbbWQIyTMQ,x-8zD5J6NXKobXNTfzo9gg,4,0,0,0,"Two words:Fried Chicken. Ok, one more word:waffle. They were super busy but we grabbed some seats at the diner and was served pretty quick. Next time we are in the area we will 100% be back to try a few more things off of the fairly large menu. Again, the fried chicken is really good!",46227,5
8,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,b13EoceGelGyrIPRxxiERQ,Wild Eggs,314 N Delaware St,Indianapolis,IN,46204,39.771879265,-86.154475099,4.0,439,1,"{'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False', 'Alcohol': ""u'full_bar'"", 'ByAppointmentOnly': 'False', 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'WiFi': ""u'free'"", 'Caters': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'HappyHour': 'False', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BYOB': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True'}","Breakfast & Brunch, Restaurants, Gluten-Free","{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0', 'Saturday': '7:0-15:0', 'Sunday': '7:0-15:0'}",7GZhiHoVv4fNnwUE3T1agQ,6Jrx4sEzyYLz4XWAMVokgw,4,1,0,0,"I have been to wild eggs many many times now. It's a great breakfast brunch place in Indy for traditional dishes but also some unique ones.

The staff is always on point, professional and courteous. 

The food options are good. Would like to see maybe one vegan dish eventually but there are plenty of vegetarian options. They also do have mimosas and yummy Bloody Mary options for your morning buzz. Lol

We have always gotten the scrambles and omelettes which are amazing. I prefer the California Omelette myself.

The location is great with plenty of street side metered parking but you can always take a scooter or cab/Uber/lift.

Overall wild eggs is a great place for a nice brunch.",46204,1
9,County,2019-01-01,18.0,IN,18097.0,Marion,245394.0,719188.0,2587672.0,773011.0,623215.0,308660.0,413516.0,329677.0,61655.0,37404.0,30162.0,5665.0,4707.0,18-18097-20190101,0,1,9wu8pszrPPUjruNvgQtIEg,Tinker Street,402 E 16th St,Indianapolis,IN,46202,39.788567,-86.150663,4.5,695,1,"{'HappyHour': 'False', 'GoodForKids': 'False', 'WiFi': ""u'no'"", 'BikeParking': 'True', 'RestaurantsTableService': 'True', 'DogsAllowed': 'False', 'GoodForDancing': 'False', 'WheelchairAccessible': 'True', 'OutdoorSeating': 'True', 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""'average'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Smoking': ""u'no'"", 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'Alcohol': ""u'full_bar'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}"", 'Corkage': 'True', 'BYOB': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'CoatCheck': 'True', 'RestaurantsTakeOut': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'False'}","Vegetarian, Wine Bars, Breakfast & Brunch, American (New), American (Traditional), Tapas Bars, Restaurants, Bars, Diners, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}",8XFnrJlsSNpAkq_k6sva8A,XvoFJhWVqiyt3T1gMGW_xg,5,1,0,0,Tried tinker street for the first time on New Years Eve. It is a very small restaurant but also very good! We sat on the covered porch area. It was definitely warm enough for the winter. I started with the lobster bisque soup. It was really good and had a kick to it. We shared Brussel Sprouts. They were really good! For my entree I got the scallops. They were also really good. It only came with 3 so if you are really hungry it might not be enough depending on your appetite. The wine list was also great. I'm excited to go back to try more!,46202,1
